,User-ID,ISBN,Book-Rating,Number of book ratings
6,276925,002542730X,10,171
7,277427,002542730X,10,171
9,10030,002542730X,7,171
10,11676,002542730X,6,171
11,12538,002542730X,10,171
21,41084,002542730X,7,171
25,52584,002542730X,10,171
30,71712,002542730X,6,171
32,80538,002542730X,7,171
36,86243,002542730X,7,171
39,89551,002542730X,10,171
40,104058,002542730X,5,171
41,105108,002542730X,10,171
42,110934,002542730X,6,171
45,113270,002542730X,5,171
50,128835,002542730X,8,171
55,150979,002542730X,8,171
56,152946,002542730X,8,171
59,164096,002542730X,8,171
62,171602,002542730X,6,171
64,173291,002542730X,7,171
66,174216,002542730X,5,171
68,175117,002542730X,6,171
71,179734,002542730X,10,171
72,183995,002542730X,10,171
82,208671,002542730X,7,171
83,209516,002542730X,9,171
86,225763,002542730X,7,171
88,229741,002542730X,7,171
90,234597,002542730X,7,171
95,244277,002542730X,8,171
100,262902,002542730X,6,171
105,269566,002542730X,7,171
109,5903,0060520507,8,24
112,56554,0060520507,9,24
115,106225,0060520507,7,24
122,238120,0060520507,8,24
125,35857,0060930934,9,20
126,56959,0060930934,9,20
129,75591,0060930934,10,20
131,114544,0060930934,8,20
137,12982,0060951303,10,16
144,276925,0099414732,7,12
145,11676,0099414732,7,12
147,141958,0099414732,8,12
152,276925,0140154078,6,19
153,94347,0140154078,6,19
154,97324,0140154078,8,19
155,134434,0140154078,8,19
156,166596,0140154078,9,19
159,56271,0140327592,8,14
161,201526,0140327592,8,14
166,271705,0141181222,10,5
178,2766,0316666343,9,1295
180,4017,0316666343,10,1295
187,8253,0316666343,10,1295
190,10560,0316666343,8,1295
191,11676,0316666343,5,1295
193,13273,0316666343,8,1295
194,13582,0316666343,7,1295
195,13995,0316666343,8,1295
197,16795,0316666343,10,1295
200,22625,0316666343,10,1295
202,23768,0316666343,7,1295
203,24433,0316666343,8,1295
208,27472,0316666343,10,1295
209,28204,0316666343,9,1295
212,28634,0316666343,10,1295
215,29855,0316666343,9,1295
219,32195,0316666343,7,1295
222,35859,0316666343,6,1295
224,36609,0316666343,9,1295
228,38281,0316666343,6,1295
230,39646,0316666343,9,1295
235,41781,0316666343,10,1295
241,46398,0316666343,6,1295
246,50895,0316666343,9,1295
249,52002,0316666343,10,1295
251,52584,0316666343,9,1295
252,53729,0316666343,8,1295
254,55438,0316666343,7,1295
258,55927,0316666343,9,1295
259,56447,0316666343,8,1295
260,56959,0316666343,8,1295
262,57725,0316666343,10,1295
263,58911,0316666343,9,1295
270,62862,0316666343,6,1295
271,62891,0316666343,6,1295
274,66942,0316666343,8,1295
276,69078,0316666343,7,1295
280,70052,0316666343,10,1295
282,72214,0316666343,10,1295
285,75819,0316666343,9,1295
286,76151,0316666343,10,1295
288,77181,0316666343,8,1295
289,77809,0316666343,5,1295
290,78448,0316666343,9,1295
291,78783,0316666343,10,1295
293,80538,0316666343,8,1295
296,80945,0316666343,9,1295
297,81492,0316666343,9,1295
298,81597,0316666343,8,1295
299,81977,0316666343,7,1295
303,86189,0316666343,8,1295
304,86835,0316666343,10,1295
309,89602,0316666343,8,1295
315,95359,0316666343,9,1295
317,96054,0316666343,10,1295
